# 新月配列 (Shingetsu) Colemak ANSI用 hazkey ローマ字テーブル
# ★=s (shift_state=1), ☆=e (shift_state=2)

# シフト
s	★
e	☆

# No Shift (ベース)
q	だ
w	こ
f	は
p	て
g	が
j	つ
l	を
u	く
y	に
;	よ
a	か
r	し
t	う
d	た
h	の
n	ん
i	い
o	と
z	お
x	で
c	き
v	な
b	ば
k	っ
m	る
,	、
.	。
/	ー

# ☆シフト (e同時押し)
☆q	ぱ
☆w	そ
☆f	ほ
☆p	ぷ
☆g	ぎ
☆j	ぢ
☆l	ぽ
☆y	ぴ
☆;	ぇ
☆a	じ
☆r	り
☆s	ら
☆t	す
☆d	け
☆h	ゅ
☆n	ま
☆e	れ
☆i	ぃ
☆o	ゆ
☆z	ぁ
☆x	げ
☆c	め
☆v	ぶ
☆b	び
☆k	ぼ
☆m	ろ
☆,	；
☆.	・
☆/	ぉ

# ★シフト (s同時押し)
★q	ぺ
★w	づ
★p	ふ
★g	ぐ
★j	ぬ
★l	ゃ
★u	み
★y	や
★;	ご
★a	ひ
★r	ち
★s	さ
★t	あ
★d	せ
★h	わ
★n	ょ
★e	も
★i	え
★o	ど
★z	ぅ
★x	へ
★v	ざ
★b	ぜ
★k	む
★m	ず
★,	ね
★.	べ
★/	ぞ
