# 新月配列 (Shingetsu) QWERTY ANSI用 hazkey ローマ字テーブル
# ★=d (shift_state=1), ☆=k (shift_state=2)

# シフト
d	★
k	☆

# No Shift (ベース)
q	だ
w	こ
e	は
r	て
t	が
y	つ
u	を
i	く
o	に
p	よ
a	か
s	し
f	う
g	た
h	の
j	ん
l	い
;	と
z	お
x	で
c	き
v	な
b	ば
n	っ
m	る
,	、
.	。
/	ー

# ☆シフト (k同時押し)
☆q	ぱ
☆w	そ
☆e	ほ
☆r	ぷ
☆t	ぎ
☆y	ぢ
☆u	ぽ
☆o	ぴ
☆p	ぇ
☆a	じ
☆s	り
☆d	ら
☆f	す
☆g	け
☆h	ゅ
☆j	ま
☆k	れ
☆l	ぃ
☆;	ゆ
☆z	ぁ
☆x	げ
☆c	め
☆v	ぶ
☆b	び
☆n	ぼ
☆m	ろ
☆,	；
☆.	・
☆/	ぉ

# ★シフト (d同時押し)
★q	ぺ
★w	づ
★r	ふ
★t	ぐ
★y	ぬ
★u	ゃ
★i	み
★o	や
★p	ご
★a	ひ
★s	ち
★d	さ
★f	あ
★g	せ
★h	わ
★j	ょ
★k	も
★l	え
★;	ど
★z	ぅ
★x	へ
★v	ざ
★b	ぜ
★n	む
★m	ず
★,	ね
★.	べ
★/	ぞ
