# 新月配列 (Shingetsu) Colemak ANSI用 hazkey ローマ字テーブル
# ★=s (shift_state=1), ☆=e (shift_state=2)

# シフト
s	★
e	☆

# No Shift (ベース)
q	よ
w	こ
f	が
p	て
g	ぶ
j	つ
l	ゅ
u	く
y	に
;	を
a	か
r	し
t	う
d	た
h	と
n	ん
i	い
o	の
z	じ
x	け
c	き
v	な
b	さ
k	っ
m	る
,	、
.	。
/	ー

# ☆シフト (e前置)
☆q	ぽ
☆w	ひ
☆f	ほ
☆p	ぷ
☆g	げ
☆j	ぬ
☆l	ご
☆a	だ
☆r	す
☆s	ら
☆t	あ
☆d	せ
☆h	ど
☆n	で
☆e	ま
☆i	え
☆o	ゆ
☆z	ぜ
☆x	へ
☆c	ば
☆v	ね
☆b	び
☆k	む
☆m	ろ
☆,	；
☆.	・

# ★シフト (s前置)
★p	ふ
★g	ぎ
★j	ぺ
★l	ゃ
★u	み
★y	や
★;	ぇ
★a	ぱ
★r	そ
★s	は
★t	お
★d	ち
★h	わ
★n	ょ
★e	も
★i	り
★o	れ
★v	ざ
★b	ぼ
★k	ぞ
★m	ず
★,	め
★.	べ
★/	づ
