# 新月配列 (Shingetsu) QWERTY ANSI用 hazkey ローマ字テーブル
# ★=d (shift_state=1), ☆=k (shift_state=2)

# シフト
d	★
k	☆

# No Shift (ベース)
q	る
w	こ
e	が
r	て
t	ぶ
y	つ
u	よ
i	く
o	に
p	を
a	か
s	し
f	う
g	た
h	と
j	ん
l	い
;	の
z	じ
x	け
c	き
v	な
b	さ
n	っ
m	ゅ
,	、
.	。
/	ー

# ☆シフト (k前置)
☆q	ぁ
☆w	ひ
☆e	ほ
☆r	ぷ
☆t	げ
☆y	ぬ
☆u	ゆ
☆i	ぐ
☆o	ぽ
☆p	ゔ
☆a	だ
☆s	す
☆d	ら
☆f	あ
☆g	せ
☆h	ど
☆j	で
☆k	ま
☆l	え
☆;	ご
☆z	ぱ
☆x	へ
☆c	ば
☆v	ね
☆b	び
☆n	む
☆m	ろ
☆,	；
☆.	・
☆/	ぉ

# ★シフト (d前置)
★q	ぴ
★w	ず
★r	ふ
★t	ぎ
★y	ぺ
★u	ゃ
★i	み
★o	や
★p	ぇ
★a	め
★s	り
★d	は
★f	お
★g	ち
★h	わ
★j	ょ
★k	も
★l	そ
★;	れ
★z	ぅ
★x	ぜ
★v	ざ
★b	ぼ
★n	ぞ
★m	ぢ
★,	ぃ
★.	べ
★/	づ
