# 新月配列 v2.0 (Shingetsu) Colemak ANSI用 hazkey ローマ字テーブル
# ★=d (Layer 2), ☆=k (Layer 1), ◎=l (Layer 3), ◆=s (Layer 4)

# シフト
d	★
k	☆
l	◎
s	◆

# No Shift (ベース)
q	ぎ
w	ぞ
f	な
p	お
g	わ
j	み
l	ぶ
u	と
y	ば
;	そ
a	ん
t	い
d	さ
h	ら
n	う
o	し
z	ゅ
x	れ
c	を
v	ぐ
b	ひゃ
k	じ
m	か
,	、
.	。
/	きょ

# ☆シフト (k前置)
☆q	ね
☆w	ろ
☆f	ず
☆p	ほ
☆g	ぎゅ
☆j	ぴょ
☆l	へ
☆a	ち
☆r	に
☆s	こ
☆t	け
☆d	ふぇ
☆h	ぴゃ
☆n	る
☆e	はぁ
☆i	て
☆z	きゃ
☆x	にゅ
☆c	ざ
☆v	じゅ
☆b	ぉ
☆k	ぇ
☆m	め
☆,	；
☆.	・

# ★シフト (d前置)
★p	ぽ
★g	は
★j	ー
★l	みょ
★u	び
★y	や
★;	ぷ
★r	にょ
★s	みゅ
★t	ご
★d	なぁ
★h	まぁ
★n	ふぁ
★e	びょ
★i	の
★o	せ
★v	ちぇ
★b	よ
★k	え
★m	ちょ
★,	ヴぁ
★.	ひょ
★/	りゃ

# ◎シフト (l前置)
◎q	みぃ
◎w	ぴゅ
◎f	りゅ
◎p	ど
◎g	ヴ
◎j	びゃ
◎l	づ
◎u	ぃ
◎a	べ
◎r	ょ
◎s	あ
◎t	で
◎d	きゅ
◎h	す
◎n	も
◎e	っ
◎z	き
◎x	じゃ
◎c	ま
◎v	しゅ
◎b	にゃ
◎k	ふぉ
◎m	ゃ
◎,	ぺ
◎.	てぃ

# ◆シフト (s前置)
◆f	む
◆p	り
◆g	ぅ
◆j	うぉ
◆l	でゅ
◆u	げ
◆y	ひ
◆;	ねぃ
◆s	みゃ
◆t	とぅ
◆d	た
◆h	ゆ
◆n	うぃ
◆e	じょ
◆i	が
◆o	くぉ
◆c	ぬ
◆v	つ
◆b	だ
◆k	しぇ
◆m	ぁ
◆,	ぼ
◆.	ぜ
◆/	ぎゃ
