# 新月配列 v2.0 (Shingetsu) QWERTY ANSI用 hazkey ローマ字テーブル
# ★=d (Layer 2), ☆=k (Layer 1), ◎=l (Layer 3), ◆=s (Layer 4)

# シフト
d	★
k	☆
l	◎
s	◆

# No Shift (ベース)
q	ー
w	だ
e	ゆ
r	ゅ
t	ず
y	み
u	へ
i	ぐ
o	ふぉ
p	じぇ
a	ん
f	い
g	で
h	ちょ
j	し
;	う
z	じゅ
x	を
c	まぁ
v	ヴ
b	わ
n	ぶ
m	ねぇ
,	、
.	。
/	え

# ☆シフト (k前置)
☆q	ぺ
☆w	ぼ
☆e	ろ
☆r	ふ
☆t	じょ
☆y	ぴょ
☆u	ぴゅ
☆a	つ
☆s	に
☆d	ら
☆f	く
☆g	や
☆h	ざ
☆j	ひゃ
☆k	る
☆l	っ
☆z	ぅ
☆x	び
☆c	しょ
☆v	べ
☆b	じゃ
☆n	げ
☆m	め
☆,	；
☆.	・

# ★シフト (d前置)
★r	ふぃ
★t	ぜ
★y	ぬ
★u	ぴ
★i	みゃ
★o	でゅ
★p	びょ
★s	す
★d	て
★f	うぇ
★g	よ
★h	け
★j	きゅ
★k	れ
★l	の
★;	さ
★v	しゅ
★b	ゃ
★n	む
★m	びゅ
★,	びゃ
★.	じ
★/	うぉ

# ◎シフト (l前置)
◎q	ぽ
◎w	ひ
◎e	ほ
◎r	ふぇ
◎t	ぢ
◎y	ぎゃ
◎u	ぎゅ
◎i	みゅ
◎a	と
◎s	ょ
◎d	こ
◎f	ご
◎g	ど
◎h	はぁ
◎j	も
◎k	りゃ
◎z	でぃ
◎x	ば
◎c	ぱ
◎v	りゅ
◎b	ち
◎n	き
◎m	きょ
◎,	ねぃ
◎.	づ

# ◆シフト (s前置)
◆e	ぷ
◆r	ふぁ
◆t	ヴぁ
◆y	くぉ
◆u	ぎょ
◆i	みょ
◆o	ちゃ
◆p	ぎ
◆d	た
◆f	あ
◆g	そ
◆h	せ
◆j	なぁ
◆k	か
◆l	が
◆;	お
◆c	かぁ
◆v	な
◆b	りょ
◆n	ぞ
◆m	きゃ
◆,	ね
◆.	にょ
◆/	ぉ
