# 新月配列 v2.0 (Shingetsu) QWERTY ANSI用 hazkey ローマ字テーブル
# ★=d (Layer 2), ☆=k (Layer 1), ◎=l (Layer 3), ◆=s (Layer 4)

# シフト
d	★
k	☆
l	◎
s	◆

# No Shift (ベース)
q	そ
w	や
e	を
r	ぺ
t	ぎょ
y	ぷ
u	ぎ
i	ふ
o	も
p	ー
a	は
s	◆
d	★
f	ちゅ
g	だ
h	き
j	う
k	☆
l	◎
;	し
z	ざ
x	ろ
c	ば
v	ご
b	ぶ
n	ひ
m	び
,	、
.	。
/	・

# ☆シフト (k前置)
☆q	ぢ
☆w	ひゅ
☆e	ほ
☆r	ぱ
☆t	ぴゅ
☆y	みゅ
☆u	ぎゃ
☆a	さ
☆s	に
☆d	て
☆f	か
☆g	ど
☆h	れ
☆j	お
☆k	りゅ
☆z	しょ
☆x	ね
☆c	べ
☆v	ぞ
☆b	ぼ
☆n	にょ
☆m	きゅ

# ★シフト (d前置)
★r	げ
★t	ヴ
★y	ぬ
★u	ぴ
★i	みょ
★o	ぎゅ
★p	;
★d	じ
★f	と
★g	ま
★h	わ
★j	っ
★k	え
★l	ん
★;	く
★b	びょ
★n	じゅ
★m	きゃ
★,	りゃ
★.	ぇ

# ◎シフト (l前置)
◎q	ぁ
◎w	ひょ
◎e	ぽ
◎r	ちゃ
◎t	ぐ
◎y	にゅ
◎u	ぴょ
◎i	みゃ
◎a	る
◎s	こ
◎d	が
◎f	せ
◎g	よ
◎h	す
◎j	あ
◎k	の
◎l	ら
◎z	ぅ
◎x	へ
◎c	びゃ
◎v	ち
◎b	しゅ
◎n	む
◎m	じょ
◎,	しゃ

# ◆シフト (s前置)
◆e	ず
◆r	ぴゃ
◆t	りょ
◆y	ちょ
◆u	づ
◆i	み
◆o	り
◆s	な
◆d	た
◆f	で
◆g	け
◆h	め
◆j	ぃ
◆k	い
◆l	つ
◆;	ゆ
◆c	ぜ
◆v	ぢゃ
◆b	びゅ
◆n	にゃ
◆m	きょ
◆,	ぉ
◆.	じゃ
