# 新月配列 v2.0 (Shingetsu) Colemak ANSI用 hazkey ローマ字テーブル
# ★=s (Layer 2), ☆=e (Layer 1), ◆=/ (Layer 3)

# シフト
s	★
e	☆
/	◆

# No Shift (ベース)
q	ど
w	ふ
f	ご
p	げ
g	ゆ
j	ひゃ
l	びゃ
u	ろ
y	み
;	ぃ
a	しゅ
r	か
t	と
d	た
h	く
n	ん
i	い
o	の
'	ー
z	ぎょ
x	や
c	ちょ
v	よ
b	せ
k	め
m	びゅ
,	、
.	。

# ☆シフト (e前置)
☆q	ぁ
☆w	ひょ
☆f	ほ
☆p	し
☆g	ぎゅ
☆j	ぬ
☆l	ぎ
☆u	みょ
☆y	び
☆;	ぇ
☆a	だ
☆r	る
☆s	こ
☆t	じゅ
☆d	そ
☆h	き
☆n	れ
☆e	も
☆i	りゅ
☆o	にゃ
☆'	・
☆z	きゅ
☆x	ぴゃ
☆c	ぼ
☆v	ちゅ
☆b	ざ
☆k	じょ
☆m	にゅ
☆,	ぴゅ
☆.	に
☆/	じ

# ★シフト (s前置)
★q	じゃ
★w	ひ
★f	ぶ
★p	ぞ
★g	ぺ
★j	にょ
★l	ぴょ
★u	みゅ
★y	ち
★a	す
★r	で
★s	は
★t	さ
★d	な
★h	ま
★n	お
★e	ら
★i	わ
★o	つ
★z	ぅ
★x	へ
★c	ぷ
★v	べ
★b	きゃ
★k	む
★m	りょ
★,	づ
★.	きょ
★/	ぉ

# ◆シフト (/前置)
◆q	ぎゃ
◆w	ひゅ
◆f	ぜ
◆p	ぱ
◆g	ぐ
◆j	り
◆l	ヴ
◆u	みゃ
◆y	りゃ
◆a	ば
◆r	を
◆s	が
◆t	て
◆d	け
◆h	っ
◆n	う
◆e	あ
◆i	え
◆'	;
◆z	しょ
◆x	ぽ
◆c	ず
◆v	ちゃ
◆b	ぢ
◆k	ぴ
◆m	しゃ
◆,	ね
◆.	ぢゃ
