# 新月配列 v2.0 (Shingetsu) QWERTY ANSI用 hazkey ローマ字テーブル
# ★=d (Layer 2), ☆=k (Layer 1), ◆=/ (Layer 3)

# シフト
d	★
k	☆
/	◆

# No Shift (ベース)
q	ど
w	ふ
e	ご
r	げ
t	ゆ
y	ひゃ
u	びゃ
i	ろ
o	み
p	ぃ
a	しゅ
s	か
f	と
g	た
h	く
j	ん
l	い
;	の
'	ー
z	ぎょ
x	や
c	ちょ
v	よ
b	せ
n	め
m	びゅ
,	、
.	。

# ☆シフト (k前置)
☆q	ぁ
☆w	ひょ
☆e	ほ
☆r	し
☆t	ぎゅ
☆y	ぬ
☆u	ぎ
☆i	みょ
☆o	び
☆p	ぇ
☆a	だ
☆s	る
☆d	こ
☆f	じゅ
☆g	そ
☆h	き
☆j	れ
☆k	も
☆l	りゅ
☆;	にゃ
☆'	・
☆z	きゅ
☆x	ぴゃ
☆c	ぼ
☆v	ちゅ
☆b	ざ
☆n	じょ
☆m	にゅ
☆,	ぴゅ
☆.	に
☆/	じ

# ★シフト (d前置)
★q	じゃ
★w	ひ
★e	ぶ
★r	ぞ
★t	ぺ
★y	にょ
★u	ぴょ
★i	みゅ
★o	ち
★a	す
★s	で
★d	は
★f	さ
★g	な
★h	ま
★j	お
★k	ら
★l	わ
★;	つ
★z	ぅ
★x	へ
★c	ぷ
★v	べ
★b	きゃ
★n	む
★m	りょ
★,	づ
★.	きょ
★/	ぉ

# ◆シフト (/前置)
◆q	ぎゃ
◆w	ひゅ
◆e	ぜ
◆r	ぱ
◆t	ぐ
◆y	り
◆u	ヴ
◆i	みゃ
◆o	りゃ
◆a	ば
◆s	を
◆d	が
◆f	て
◆g	け
◆h	っ
◆j	う
◆k	あ
◆l	え
◆'	;
◆z	しょ
◆x	ぽ
◆c	ず
◆v	ちゃ
◆b	ぢ
◆n	ぴ
◆m	しゃ
◆,	ね
◆.	ぢゃ
